2025.12.07 09:57:57 INFO  Started: Metals version 1.6.4 in folders 'C:\Users\chery\Documents\compiler\project\math-chat' for client Visual Studio Code 1.106.3.
2025.12.07 09:57:59 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.12.07 10:07:25 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:29 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:29 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:29 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:30 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:30 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:30 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:30 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:32 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:32 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:34 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:34 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:34 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:36 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:36 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:36 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:36 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:36 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.07 10:07:37 INFO  no build target found for C:\Users\chery\Documents\compiler\project\math-chat\app\controllers\HomeController.scala. Using presentation compiler with project's scala-library version: 3.3.6
Dec 07, 2025 10:07:38 AM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 41
